URL,Publication Year,article_title,Authors,Parent Publication,Fields Of Research,Categories,Scopus Citation Count,Web of Science Citation Count,Journal Impact Factor,Abstract Views,File Downloads,SJR,SJR Best Quartile,H index,DRO PID,ISSN,Publication Type,Open Access
http://dro.deakin.edu.au/view/DU:30107058,2018,A biodiversity-crisis hierarchy to evaluate and refine conservation indicators,"Driscoll, Don;Bland, Lucie;Bryan, Brett;Newsome, Thomas;Nicholson, Emily;Ritchie, Euan;Doherty, Timothy",Nature ecology and evolution,NA,NA,4,4,NA,168,1,NA,NA,NA,DU:30107058,"NA",Journal Article,FALSE
http://dro.deakin.edu.au/view/DU:30073650,2006,A new method for conservation planning for the persistence of multiple species,"Nicholson, Emily;Westphal, Michael I.;Frank, Karin;Rochester, Wayne A.;Pressey, Robert L.;Lindenmayer, David B.;Possingham, Hugh P.",Ecology letters,"050202 Conservation and Biodiversity,0501 Ecological Applications,0602 Ecology","Ecology, Evolution, Behavior and Systematics (Q1)",108,110,9.449,58,1,6.825,Q1,219,DU:30073650,14610248,Journal Article,FALSE
http://dro.deakin.edu.au/view/DU:30073629,2015,A practical guide to the application of the IUCN Red List of Ecosystems criteria,"Rodríguez, Jon Paul;Keith, David A.;Rodríguez-Clark, Kathryn M.;Murray, Nicholas J.;Nicholson, Emily;Regan, Tracey J.;Miller, Rebecca M.;Barrow, Edmund G.;Bland, Lucie M.;Boe, Kaia;Brooks, Thomas M.;Oliveira-Miranda, Maria A.;Spalding, Mark;Wit, Piet",Philosophical transactions b,"050202 Conservation and Biodiversity,060202 Community Ecology (excl Invasive Species Ecology)","Agricultural and Biological Sciences (miscellaneous) (Q1); Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q1)",13,34,5.846,256,3,3.306,Q1,223,DU:30073629,14712970,Journal Article,FALSE
http://dro.deakin.edu.au/view/DU:30073626,2015,Accounting for career breaks,"Nicholson, Emily",Science,050299 Environmental Science and Management not elsewhere classified,History and Philosophy of Science (Q1); Multidisciplinary (Q1),2,2,37.205,61,2,14.142,Q1,1015,DU:30073626,"00368075, 00368075, 10959203, 10959203, 10959203",Journal Article,FALSE
http://dro.deakin.edu.au/view/DU:30073647,2009,Application of population viability analysis to landscape conservation planning,"Beissinger, Steven R.;Nicholson, Emily;Possingham, Hugh P.",Models for planning wildlife conservation in large landscapes,050202 Conservation and Biodiversity,NA,7,5,NA,247,2,NA,NA,NA,DU:30073647,"NA",Book Chapter,FALSE
http://dro.deakin.edu.au/view/DU:30113795,2018,"Assessing risks to marine ecosystems with indicators, ecosystem models and experts","Bland, Lucie M.;Watermeyer, Kate E.;Keith, David A.;Nicholson, Emily;Regan, Tracey J.;Shannon, Lynne J.",Biological conservation,"05 Environmental Sciences,06 Biological Sciences,07 Agricultural And Veterinary Sciences","Ecology, Evolution, Behavior and Systematics (Q1); Nature and Landscape Conservation (Q1)",0,0,4.022,65,1,2.397,Q1,163,DU:30113795,"00063207, 00063207",Journal Article,FALSE
http://dro.deakin.edu.au/view/DU:30073646,2009,Assessing the threat status of ecological communities,"Nicholson, Emily;Keith, David A.;Wilcove, David S.",Conservation biology,050202 Conservation and Biodiversity,"Ecology (Q1); Ecology, Evolution, Behavior and Systematics (Q1); Medicine (miscellaneous) (Q1); Nature and Landscape Conservation (Q1)",57,47,4.842,187,1,3.081,Q1,194,DU:30073646,"08888892, 08888892, 15231739, 15231739, 15231739, 15231739, 15231739",Journal Article,FALSE
http://dro.deakin.edu.au/view/DU:30104373,2009,Assessing the Threat Status of Ecological Communities,"Nicholson;KEITH, DAVIDA;WILCOVE, DAVIDS",Conservation Biology,"05 Environmental Sciences,06 Biological Sciences,07 Agricultural And Veterinary Sciences","Ecology (Q1); Ecology, Evolution, Behavior and Systematics (Q1); Medicine (miscellaneous) (Q1); Nature and Landscape Conservation (Q1)",NA,47,4.842,9,1,3.081,Q1,194,DU:30104373,"08888892, 15231739, 08888892, 15231739",Journal Article,FALSE
http://dro.deakin.edu.au/view/DU:30118591,2015,"Bee declines driven by combined stress from parasites, pesticides, and lack of flowers","Goulson, D;Nicholls, E;Botias, C;Rotheray, EL",SCIENCE,MD Multidisciplinary,History and Philosophy of Science (Q1); Multidisciplinary (Q1),NA,NA,37.205,0,0,14.142,Q1,1015,DU:30118591,"00368075, 10959203, 00368075, 10959203",Journal Article,FALSE
http://dro.deakin.edu.au/view/DU:30095272,2002,Community data - where does the value lie? Assessing confidence limits of community collected water quality data,"Nicholson, Emily;Ryan, J;Hodgkins, D",Proceedings of the 4th 2001 International River Symposium,MD Multidisciplinary,NA,41,35,NA,66,0,NA,NA,NA,DU:30095272,"NA",Conference Paper,FALSE
http://dro.deakin.edu.au/view/DU:30073645,2009,Conservation prioritization using metapopulation models,"Nicholson, Emily;Ovaskainen, Otso",Spatial conservation prioritisation: quantitative methods and computational tools,050202 Conservation and Biodiversity,NA,NA,NA,NA,89,1,NA,NA,NA,DU:30073645,"NA",Book Chapter,FALSE
http://dro.deakin.edu.au/view/DU:30072063,2014,Conservation. Taking the measure of change,"Collen,B;Nicholson,E",Science,"050202 Conservation and Biodiversity,060207 Population Ecology",History and Philosophy of Science (Q1); Multidisciplinary (Q1),31,31,37.205,229,3,14.142,Q1,1015,DU:30072063,"00368075, 00368075, 10959203, 10959203, 10959203, 00368075, 00368075, 10959203, 10959203, 10959203",Journal Article,FALSE
http://dro.deakin.edu.au/view/DU:30073614,2015,Cost-effective assessment of extinction risk with limited information,"Bland, Lucie;Orme, C. David L.;Bielby, Jon;Collen, Ben;Nicholson, Emily;McCarthy, Michael A.",Journal of applied ecology,050202 Conservation and Biodiversity,Ecology (Q1),18,18,5.301,236,2,3.062,Q1,151,DU:30073614,"00218901, 00218901, 00218901, 00218901, 00218901, 00218901, 13652664, 13652664, 13652664, 13652664, 13652664, 13652664, 00218901, 00218901, 00218901, 00218901, 00218901, 00218901, 13652664, 13652664, 13652664, 13652664, 13652664, 13652664",Journal Article,FALSE
http://dro.deakin.edu.au/view/DU:30085710,2017,Cost and feasibility of a barrier to halt the spread of invasive cane toads in arid Australia: incorporating expert knowledge into model-based decision-making,"Southwell, Darren;Tingley, Reid;Bode, Michael;Nicholson, Emily;Phillips, Ben L.",Journal of applied ecology,"050103 Invasive Species Ecology,050205 Environmental Management,0501 Ecological Applications,0502 Environmental Science And Management,0602 Ecology",Ecology (Q1),4,4,5.301,163,0,3.062,Q1,151,DU:30085710,"00218901, 00218901, 00218901, 00218901, 00218901, 00218901, 13652664, 13652664, 13652664, 13652664, 13652664, 13652664, 00218901, 00218901, 00218901, 00218901, 00218901, 00218901, 13652664, 13652664, 13652664, 13652664, 13652664, 13652664",Journal Article,FALSE
http://dro.deakin.edu.au/view/DU:30108672,2017,Decision-making in conservation and natural resource management : models for interdisciplinary approaches,"Bunnefeld, N;Nicholson, Emily;Milner-Gulland, EJ",NA,"050202 Conservation and Biodiversity,050209 Natural Resource Management",NA,NA,2,NA,20,0,NA,NA,NA,DU:30108672,"NA, NA",Book,FALSE
http://dro.deakin.edu.au/view/DU:30118359,2017,Decision-Making in Conservation and Natural Resource Management: Models for Interdisciplinary Approaches,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,DU:30118359,"NA, NA",Book,FALSE
http://dro.deakin.edu.au/view/DU:30106000,2018,Developing a standardized definition of ecosystem collapse for risk assessment,"Bland, Lucie M.;Rowland, Jessica A.;Regan, Tracey J.;Keith, David A.;Murray, Nicholas J.;Lester, Rebecca E.;Linn, Matt.;Rodríguez, Jon Paul.;Nicholson, Emily",Frontiers in ecology and the environment,"050102 Ecosystem Function,050202 Conservation and Biodiversity,MD Multidisciplinary,050102 Ecosystem Function,050202 Conservation and Biodiversity,MD Multidisciplinary","Ecology (Q1); Ecology, Evolution, Behavior and Systematics (Q1)",4,4,8.039,125,14,4.677,Q1,127,DU:30106000,15409295,Journal Article,TRUE
http://dro.deakin.edu.au/view/DU:30083281,2016,"Drivers of the distribution of fisher effort at Lake Alaotra, Madagascar","Wallace, Andrea P.C.;Jones, Julia P.G.;Milner-Gulland, E.J.;Wallace, Graham E.;Young, Richard;Nicholson, Emily",Human ecology: an interdisciplinary journal,"070403 Fisheries Management,070401 Aquaculture","Anthropology (Q1); Arts and Humanities (miscellaneous) (Q1); Health (social science) (Q1); Sociology and Political Science (Q1); Ecology (Q2); Environmental Science (miscellaneous) (Q2); Health, Toxicology and Mutagenesis (Q2); Public Health, Environmental and Occupational Health (Q2)",5,4,1.743,170,11,0.752,Q1,60,DU:30083281,03007839,Journal Article,TRUE
http://dro.deakin.edu.au/view/DU:30073627,2011,Establishing IUCN red list criteria for threatened ecosystems,"Rodríguez, Jon Paul;Rodríguez-Clark, Kathryn M.;Baillie, Jonathan E. M.;Ash, Neville;Benson, John;Boucher, Timothy;Brown, Claire;Burgess, Neil D.;Collen, Ben;Jennings, Michael;Keith, David A.;Nicholson, Emily;Revenga, Carmen;Reyers, Belinda;Rouget, Mathieu;Smith, Tammy;Spalding, Mark;Taber, Andrew;Walpole, Matt;Zager, Irene;Zamin, Tara",Conservation biology,050202 Conservation and Biodiversity,"Ecology (Q1); Ecology, Evolution, Behavior and Systematics (Q1); Medicine (miscellaneous) (Q1); Nature and Landscape Conservation (Q1)",93,72,4.842,184,2,3.081,Q1,194,DU:30073627,"08888892, 08888892, 15231739, 15231739, 15231739, 15231739, 15231739",Journal Article,FALSE
http://dro.deakin.edu.au/view/DU:30113815,2018,Expanding the role of targets in conservation policy,"Doherty, Tim S.;Bland, Lucie M.;Bryan, Brett A.;Neale, Timothy;Nicholson, Emily;Ritchie, Euan G.;Driscoll, Don A.",Trends in ecology and evolution,"06 Biological Sciences,05 Environmental Sciences,06 Biological Sciences,05 Environmental Sciences","Ecology, Evolution, Behavior and Systematics (Q1)",2,1,15.268,79,2,8.634,Q1,295,DU:30113815,01695347,Journal Article,FALSE
http://dro.deakin.edu.au/view/DU:30073634,2013,Extinction risk in cloud forest fragments under climate change and habitat loss,"Ponce-Reyes, Rocio;Nicholson, Emily;Baxter, Peter W. J.;Fuller, Richard A.;Possingham, Hugh",Diversity and Distributions,050202 Conservation and Biodiversity,"Ecology, Evolution, Behavior and Systematics (Q1)",30,25,4.391,235,3,2.521,Q1,98,DU:30073634,13669516,Journal Article,FALSE
http://dro.deakin.edu.au/view/DU:30073615,2016,Global biodiversity indicators reflect the modeled impacts of protected area policy change,"Costelloe, Brendan;Collen, Ben;Milner-Gulland, E.J.;Craigie, Ian D.;Mcrae, Louise;Rondinini, Carlo;Nicholson, Emily",Conservation letters,050202 Conservation and Biodiversity,"Ecology (Q1); Ecology, Evolution, Behavior and Systematics (Q1); Nature and Landscape Conservation (Q1)",8,7,7.02,229,3,3.828,Q1,51,DU:30073615,"1755263X, 1755263X",Journal Article,FALSE
