URL,Publication Year,article_title,Authors,Parent Publication,Fields Of Research,Categories,Scopus Citation Count,Web of Science Citation Count,Journal Impact Factor,Abstract Views,File Downloads,SJR,SJR Best Quartile,H index,DRO PID,ISSN,Publication Type,Open Access
http://dro.deakin.edu.au/view/DU:30040515,2011,"A brief guide to model selection, multimodel inference and model averaging in behavioural ecology using Akaike's information criterion","Symonds, Matthew R. E.;Moussalli, Adnan",Behavioral ecology and sociobiology,"060201 Behavioural Ecology,060201 Behavioural Ecology","Animal Science and Zoology (Q1); Ecology, Evolution, Behavior and Systematics (Q1)",811,764,2.185,610,4,1.323,Q1,105,DU:30040515,03405443,Journal Article,FALSE
http://dro.deakin.edu.au/view/DU:30071705,2014,A primer on phylogenetic generalised least squares,"Symonds,MRE;Blomberg,SP",Modern phylogenetic comparative methods and their application in evolutionary biology : concepts and practice,060309 Phylogeny and Comparative Analysis,NA,105,NA,NA,366,6,NA,NA,NA,DU:30071705,"NA",Book Chapter,FALSE
http://dro.deakin.edu.au/view/DU:30104762,2017,"Anticipatory flexibility: larval population density in moths determines male investment in antennae, wings and testes","Johnson, Tamara L.;Symonds, Matthew R. E.;Elgar, Mark A.",Proceedings of the Royal Society B: biological sciences,"06 Biological Sciences,11 Medical And Health Sciences,07 Agricultural And Veterinary Sciences","Agricultural and Biological Sciences (miscellaneous) (Q1); Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q1); Environmental Science (miscellaneous) (Q1); Immunology and Microbiology (miscellaneous)  (Q1); Medicine (miscellaneous) (Q1)",3,2,4.94,106,0,2.826,Q1,209,DU:30104762,14712954,Journal Article,FALSE
http://dro.deakin.edu.au/view/DU:30107956,2018,Are the big and beautiful less bold? Differences in avian fearfulness between the sexes in relation to body size and colour,"Guay, P.-J.;Leppitt, R.;Weston, M. A.;Yeager, T. R.;Van Dongen, W. F. D.;Symonds, M. R. E.",Journal of zoology,"06 Biological Sciences,05 Environmental Sciences","Animal Science and Zoology (Q1); Ecology, Evolution, Behavior and Systematics (Q1)",0,0,2.186,87,1,1.077,Q1,81,DU:30107956,"09528369, 09528369, 14697998, 14697998, 09528369, 09528369, 14697998, 14697998",Journal Article,FALSE
http://dro.deakin.edu.au/view/DU:30111964,2018,Bicycles evoke longer flight-initiation distances and higher intensity escape behaviour of some birds in parks compared with pedestrians,"Bernard, Guillaume E.;van Dongen, Wouter F. D.;Guay, Patrick-Jean;Symonds, Matthew R. E.;Robinson, Randall W.;Weston, Michael A.",Landscape and Urban Planning,"09 Engineering,05 Environmental Sciences,12 Built Environment And Design","Ecology (Q1); Management, Monitoring, Policy and Law (Q1); Nature and Landscape Conservation (Q1)",0,0,4.563,74,1,2.124,Q1,123,DU:30111964,01692046,Journal Article,FALSE
http://dro.deakin.edu.au/view/DU:30090722,2017,Bill size mediates behavioural thermoregulation in birds,"Ryeland, Julia;Weston, Michael A.;Symonds, Matthew R. E.",Functional ecology,"050101 Ecological Impacts of Climate Change,06 Biological Sciences,05 Environmental Sciences","Ecology, Evolution, Behavior and Systematics (Q1)",5,4,5.63,172,3,2.868,Q1,129,DU:30090722,"02698463, 02698463, 02698463, 02698463, 13652435, 13652435, 13652435, 13652435, 02698463, 02698463, 02698463, 02698463, 13652435, 13652435, 13652435, 13652435",Journal Article,FALSE
http://dro.deakin.edu.au/view/DU:30112486,2019,Biological determinants of research effort on Australian birds: a comparative analysis,"Yarwood, Maree R.;Weston, Michael A.;Symonds, Matthew R.E.",Emu: Austral ornithology,"050202 Conservation and Biodiversity,0502 Environmental Science And Management,0602 Ecology,0608 Zoology","Animal Science and Zoology (Q2); Ecology, Evolution, Behavior and Systematics (Q2); Nature and Landscape Conservation (Q2)",0,0,0.989,65,1,0.568,Q2,35,DU:30112486,01584197,Journal Article,FALSE
http://dro.deakin.edu.au/view/DU:30103461,2017,Book review: Statistical Methods in Biology: Design and Analysis of Experiments and Regression,"Symonds, Matthew",Quarterly Review of Biology,"06 Biological Sciences,06 Biological Sciences",Agricultural and Biological Sciences (miscellaneous) (Q1),NA,NA,4.25,11,3,1.463,Q1,66,DU:30103461,00335770,Journal Article,FALSE
http://dro.deakin.edu.au/view/DU:30103459,2017,Bracing their bills,"Ryeland, J;Symonds, Matthew",Biosphere,NA,NA,NA,NA,NA,15,3,NA,NA,NA,DU:30103459,"NA",Journal Article,FALSE
http://dro.deakin.edu.au/view/DU:30046992,2013,Brains and bravery: little evidence of a relationship between brain size and flightiness in shorebirds,"Guay, P. J.;Weston, M. A.;Symonds, M. R. E.;Glover, H. K.",Austral ecology,"060201 Behavioural Ecology,060309 Phylogeny and Comparative Analysis,060809 Vertebrate Biology,060201 Behavioural Ecology,060309 Phylogeny and Comparative Analysis,060809 Vertebrate Biology","Ecology (Q2); Ecology, Evolution, Behavior and Systematics (Q2)",16,13,1.708,358,7,0.891,Q2,74,DU:30046992,14429985,Journal Article,FALSE
