DRO PID,article_title,Publication Type,Authors,Parent Publication,Fields Of Research,Publication Year,Scopus Citation Count,Web of Science Citation Count,Journal Impact Factor,SJR.x,Abstract Views,File Downloads,URL,Open Access,ISSN,Rank,Sourceid,journal_title,Type,SJR.y,SJR Best Quartile,H index,Total Docs. (2017),Total Docs. (3years),Total Refs.,Total Cites (3years),Citable Docs. (3years),Cites / Doc. (2years),Ref. / Doc.,Country,Publisher,Categories,Quartiles
DU:30047793,"Development of twenty-three novel microsatellite markers for the seagrass, Zostera muelleri from Australia",Journal Article,"Sherman, Craig D. H.;Stanley, Annalise M.;Keough, Michael J.;Gardner, Michael G.;Macreadie, Peter I.",Conservation genetics resources,069999 Biological Sciences not elsewhere classified,2012,9,9,0.47,0.321,371,5,http://dro.deakin.edu.au/view/DU:30047793,FALSE,"18777252, 18777252, 18777260, 18777260, 18777252, 18777252, 18777260, 18777260",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DU:30049271,Effects of moderate nutrient enrichment on seagrass trophic pathways,Conference Paper,"York, Paul;Booth, David;Macreadie, Peter;Kelaher, Brendan",AMSA-NZMSS 2012 : Marine & everything in between extremes : Proceedings of the 2012 Australian Marine Sciences Association and New Zealand Marine Sciences Society Conference,059999 Environmental Sciences not elsewhere classified,2012,NA,NA,NA,NA,46,2,http://dro.deakin.edu.au/view/DU:30049271,FALSE,"NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DU:30057760,Microsatellite primer development for the seagrass Zostera nigricaulis (Zosteraceae),Journal Article,"Smith, Timothy M.;York, Paul H.;Stanley, Annalise M.;Macreadie, Peter I.;Keough, Michael J.;Ross, D. Jeff;Sherman, Craig D.H.",Conservation genetics resources,059999 Environmental Sciences not elsewhere classified,2013,8,7,0.47,0.321,283,2,http://dro.deakin.edu.au/view/DU:30057760,FALSE,"18777252, 18777252, 18777260, 18777260, 18777252, 18777252, 18777260, 18777260",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DU:30062636,Resilience of Zostera muelleri seagrass to small-scale disturbances : the relative importance of asexual versus sexual recovery,Journal Article,"Macreadie, Peter I.;York, Paul H.;Sherman, Craig D.H.",Ecology and evolution,059999 Environmental Sciences not elsewhere classified,2014,24,22,2.44,1.579,294,5,http://dro.deakin.edu.au/view/DU:30062636,TRUE,20457758,2739,21100264002,Ecology and Evolution,journal,1356,Q1,41,960,1616,60740,4231,1590,"2,39","63,27",United Kingdom,John Wiley and Sons Ltd,Ecology ,1
DU:30062636,Resilience of Zostera muelleri seagrass to small-scale disturbances : the relative importance of asexual versus sexual recovery,Journal Article,"Macreadie, Peter I.;York, Paul H.;Sherman, Craig D.H.",Ecology and evolution,059999 Environmental Sciences not elsewhere classified,2014,24,22,2.44,1.579,294,5,http://dro.deakin.edu.au/view/DU:30062636,TRUE,20457758,2739,21100264002,Ecology and Evolution,journal,1356,Q1,41,960,1616,60740,4231,1590,"2,39","63,27",United Kingdom,John Wiley and Sons Ltd,"Ecology, Evolution, Behavior and Systematics ",1
DU:30062636,Resilience of Zostera muelleri seagrass to small-scale disturbances : the relative importance of asexual versus sexual recovery,Journal Article,"Macreadie, Peter I.;York, Paul H.;Sherman, Craig D.H.",Ecology and evolution,059999 Environmental Sciences not elsewhere classified,2014,24,22,2.44,1.579,294,5,http://dro.deakin.edu.au/view/DU:30062636,TRUE,20457758,2739,21100264002,Ecology and Evolution,journal,1356,Q1,41,960,1616,60740,4231,1590,"2,39","63,27",United Kingdom,John Wiley and Sons Ltd,Nature and Landscape Conservation ,1
DU:30069776,Detecting range shifts among Australian fishes in response to climate change,Journal Article,"Booth,DJ;Bond,N;Macreadie,P",Marine and freshwater research,060205 Marine and Estuarine Ecology (incl Marine Ichthyology),2011,65,57,1.757,0.711,245,2,http://dro.deakin.edu.au/view/DU:30069776,FALSE,"13231650, 13231650",6004,27846,Marine and Freshwater Research,journal,782,Q2,75,222,419,13134,710,409,"1,57","59,16",Australia,Commonwealth Scientific and Industrial Research Organization Publishing,Aquatic Science ,2
DU:30069776,Detecting range shifts among Australian fishes in response to climate change,Journal Article,"Booth,DJ;Bond,N;Macreadie,P",Marine and freshwater research,060205 Marine and Estuarine Ecology (incl Marine Ichthyology),2011,65,57,1.757,0.711,245,2,http://dro.deakin.edu.au/view/DU:30069776,FALSE,"13231650, 13231650",6004,27846,Marine and Freshwater Research,journal,782,Q2,75,222,419,13134,710,409,"1,57","59,16",Australia,Commonwealth Scientific and Industrial Research Organization Publishing,Ecology ,2
DU:30069776,Detecting range shifts among Australian fishes in response to climate change,Journal Article,"Booth,DJ;Bond,N;Macreadie,P",Marine and freshwater research,060205 Marine and Estuarine Ecology (incl Marine Ichthyology),2011,65,57,1.757,0.711,245,2,http://dro.deakin.edu.au/view/DU:30069776,FALSE,"13231650, 13231650",6004,27846,Marine and Freshwater Research,journal,782,Q2,75,222,419,13134,710,409,"1,57","59,16",Australia,Commonwealth Scientific and Industrial Research Organization Publishing,"Ecology, Evolution, Behavior and Systematics ",2
DU:30069776,Detecting range shifts among Australian fishes in response to climate change,Journal Article,"Booth,DJ;Bond,N;Macreadie,P",Marine and freshwater research,060205 Marine and Estuarine Ecology (incl Marine Ichthyology),2011,65,57,1.757,0.711,245,2,http://dro.deakin.edu.au/view/DU:30069776,FALSE,"13231650, 13231650",6004,27846,Marine and Freshwater Research,journal,782,Q2,75,222,419,13134,710,409,"1,57","59,16",Australia,Commonwealth Scientific and Industrial Research Organization Publishing,Oceanography ,2
