DRO PID, Title, Publication Type, Authors, ISSN, Parent Publication,Fields Of Research, Publication Year, Scopus Citation Count, Web of Science Citation Count, Journal Impact Factor, SJR, Abstract Views, File Downloads, URL, Open Access
DU:30101995,Potential impact of climate change on wheat yield in South Australia,Journal Article,"Luo, Qunying;Bellotti, William;Williams, Martin;Bryan, Brett",0168-1923,Agricultural and forest meteorology,"04 Earth Sciences,07 Agricultural And Veterinary Sciences,06 Biological Sciences",2005,95,83,3.887,1.976,144,2,http://dro.deakin.edu.au/view/DU:30101995,FALSE
DU:30102078,Scenarios for Australian agricultural production and land use to 2050,Journal Article,"Grundy, Michael J.;Bryan, Brett A.;Nolan, Martin;Battaglia, Michael;Hatfield-Dodds, Steve;Connor, Jeffery D.;Keating, Brian A.",0308-521X,Agricultural systems,"07 Agricultural And Veterinary Sciences,05 Environmental Sciences",2016,16,13,2.571,0.965,186,1,http://dro.deakin.edu.au/view/DU:30102078,FALSE
DU:30101983,Quantitative and visual assessments of climate change impacts on South Australian wheat production,Journal Article,"Luo, Qunying;Williams, Martin A.J.;Bellotti, William;Bryan, Brett",0308-521X,Agricultural systems,"07 Agricultural And Veterinary Sciences,05 Environmental Sciences",2003,44,36,2.571,0.965,108,1,http://dro.deakin.edu.au/view/DU:30101983,FALSE
DU:30102078,Scenarios for Australian agricultural production and land use to 2050,Journal Article,"Grundy, Michael J.;Bryan, Brett A.;Nolan, Martin;Battaglia, Michael;Hatfield-Dodds, Steve;Connor, Jeffery D.;Keating, Brian A.",1873-2267,Agricultural systems,"07 Agricultural And Veterinary Sciences,05 Environmental Sciences",2016,16,13,2.571,0.965,186,1,http://dro.deakin.edu.au/view/DU:30102078,FALSE
DU:30101998,"Development, land-use change and rural resettlement capacity: a case study of the Three Gorges Project, China",Journal Article,"Tan, Yan;Bryan, Brett;Hugo, Graeme",0004-9182,Australian geographer,"MD Multidisciplinary,MD Multidisciplinary",2005,11,10,1.115,0.454,133,1,http://dro.deakin.edu.au/view/DU:30101998,FALSE
DU:30109721,"Light reflex onset latency, task-evoked pupillary responses, and cognitive abilities",Conference Paper,"Stone, B;Burns, N;Nettelbeck, T;Bryan, Brett",0004-9530,AUSTRALIAN JOURNAL OF PSYCHOLOGY,"1701 Psychology,1702 Cognitive Science",2003,,,1.309,0.411,5,4,http://dro.deakin.edu.au/view/DU:30109721,FALSE
DU:30102007,Systematic landscape restoration in the rural-urban fringe: meeting conservation planning and policy goals,Journal Article,"Crossman, Neville D.;Bryan, Brett A.;Ostendorf, Bertram;Collins, Sally",0960-3115,Biodiversity and conservation,"0501 Ecological Applications,0502 Environmental Science And Management,0602 Ecology,0501 Ecological Applications,0502 Environmental Science And Management,0602 Ecology",2007,43,32,2.265,1.169,127,0,http://dro.deakin.edu.au/view/DU:30102007,FALSE
DU:30102065,"Better land-use allocation outperforms land sparing and land sharing approaches to conservation in Central Kalimantan, Indonesia",Journal Article,"Law, Elizabeth A.;Meijaard, Erik;Bryan, Brett A.;Mallawaarachchi, Thilak;Koh, Lian Pin;Wilson, Kerrie A.",0006-3207,Biological conservation,"05 Environmental Sciences,06 Biological Sciences,07 Agricultural And Veterinary Sciences",2015,31,25,4.022,2.322,159,23,http://dro.deakin.edu.au/view/DU:30102065,TRUE
DU:30102067,Making decisions for managing ecosystem services,Journal Article,"Martinez-Harms, Maria Jose;Bryan, Brett A.;Balvanera, Patricia;Law, Elizabeth A.;Rhodes, Jonathan R.;Possingham, Hugh P.;Wilson, Kerrie A.",0006-3207,Biological conservation,"05 Environmental Sciences,06 Biological Sciences,07 Agricultural And Veterinary Sciences",2015,83,66,4.022,2.322,134,68,http://dro.deakin.edu.au/view/DU:30102067,TRUE
DU:30102022,"Development and application of a model for robust, cost-effective investment in natural capital and ecosystem services",Journal Article,"Bryan, Brett",0006-3207,Biological conservation,"05 Environmental Sciences,06 Biological Sciences,07 Agricultural And Veterinary Sciences",2010,23,21,4.022,2.322,5,0,http://dro.deakin.edu.au/view/DU:30102022,FALSE
DU:30101992,Systematic landscape restoration using integer programming,Journal Article,"Crossman, Neville D.;Bryan, Brett A.",0006-3207,Biological conservation,"05 Environmental Sciences,06 Biological Sciences,07 Agricultural And Veterinary Sciences",2006,66,66,4.022,2.322,142,0,http://dro.deakin.edu.au/view/DU:30101992,FALSE
DU:30102900,Projecting the performance of conservation interventions,Journal Article,"Law, Elizabeth A.;Ferraro, Paul J.;Arcese, Peter;Bryan, Brett A.;Davis, Katrina;Gordon, Ascelin;Holden, Matthew H.;Iacona, Gwenllian;Marcos Martinez, Raymundo;McAlpine, Clive A.;Rhodes, Jonathan R.;Sze, Jocelyne S.;Wilson, Kerrie A.",0006-3207,Biological conservation,"05 Environmental Sciences,06 Biological Sciences,07 Agricultural And Veterinary Sciences",2017,8,6,4.022,2.322,116,0,http://dro.deakin.edu.au/view/DU:30102900,FALSE
DU:30101992,Systematic landscape restoration using integer programming,Journal Article,"Crossman, Neville D.;Bryan, Brett A.",1873-2917,Biological conservation,"05 Environmental Sciences,06 Biological Sciences,07 Agricultural And Veterinary Sciences",2006,66,66,4.022,2.322,142,0,http://dro.deakin.edu.au/view/DU:30101992,FALSE
DU:30101997,Probabilistic distributions of regional climate change and their application in risk analysis of wheat production,Journal Article,"Luo, Qunying;Jones, Roger N;Williams, Martin;Bryan, Brett;Bellotti, William",0936-577X,Climate research,"0401 Atmospheric Sciences,0401 Atmospheric Sciences",2005,39,35,1.578,0.831,123,1,http://dro.deakin.edu.au/view/DU:30101997,FALSE
DU:30102008,Risk analysis of possible impacts of climate change on South Australian wheat production,Journal Article,"Luo, Qunying;Bellotti, William;Williams, Martin;Cooper, Ian;Bryan, Brett",0165-0009,Climatic change,MD Multidisciplinary,2007,31,27,3.496,1.883,149,0,http://dro.deakin.edu.au/view/DU:30102008,FALSE
DU:30101996,"Spatial analysis of environmental change impacts on wheat production in Mid-Lower North, South Australia",Journal Article,"Luo, Qunying;Bryan, Brett;Bellotti, William;Williams, Martin",0165-0009,Climatic change,"MD Multidisciplinary,MD Multidisciplinary",2005,23,22,3.496,1.883,176,1,http://dro.deakin.edu.au/view/DU:30101996,FALSE
DU:30102048,Parallelization and optimization of spatial analysis for large scale environmental model data assembly,Journal Article,"Zhao, Gang;Bryan, Brett A;King, Darran;Song, Xiaodong;Yu, Qiang",0168-1699,Computers and electronics in agriculture,"09 Engineering,08 Information And Computing Sciences,07 Agricultural And Veterinary Sciences",2012,19,16,2.201,0.896,111,2,http://dro.deakin.edu.au/view/DU:30102048,FALSE
DU:30102038,Comparing spatially explicit ecological and social values for natural areas to identify effective conservation strategies,Journal Article,"Bryan, Brett Anthony;Raymond, Christopher Mark;Crossman, Neville David;King, Darran",0888-8892,Conservation biology,"05 Environmental Sciences,06 Biological Sciences,07 Agricultural And Veterinary Sciences",2011,81,61,4.842,2.681,157,2,http://dro.deakin.edu.au/view/DU:30102038,FALSE
DU:30102035,Carbon payments and low-cost conservation,Journal Article,"Crossman, Neville D;Bryan, Brett A;Summers, David M",1523-1739,Conservation biology,"05 Environmental Sciences,06 Biological Sciences,07 Agricultural And Veterinary Sciences",2011,64,59,4.842,2.681,123,2,http://dro.deakin.edu.au/view/DU:30102035,FALSE
DU:30102038,Comparing spatially explicit ecological and social values for natural areas to identify effective conservation strategies,Journal Article,"Bryan, Brett Anthony;Raymond, Christopher Mark;Crossman, Neville David;King, Darran",1523-1739,Conservation biology,"05 Environmental Sciences,06 Biological Sciences,07 Agricultural And Veterinary Sciences",2011,81,61,4.842,2.681,157,2,http://dro.deakin.edu.au/view/DU:30102038,FALSE
DU:30102059,Land science contributions to ecosystem services,Journal Article,"Crossman, Neville D;Bryan, Brett A;de Groot, Rudolf S;Lin, Yu-Pin;Minang, Peter A",1877-3435,Current opinion in environmental sustainability,MD Multidisciplinary,2013,28,27,3.954,2.324,138,1,http://dro.deakin.edu.au/view/DU:30102059,FALSE
