DRO PID, Title, Publication Type, Authors, ISSN, Parent Publication,Fields Of Research, Publication Year, Scopus Citation Count, Web of Science Citation Count, Journal Impact Factor, SJR, Abstract Views, File Downloads, URL, Open Access
DU:30108006,"Nitrogen deposition in precipitation to a monsoon-affected eutrophic embayment: fluxes, sources, and processes",Journal Article,"Wu, Yunchao;Zhang, Jingping;Liu, Songlin;Jiang, Zhijian;Arbi, Iman;Huang, Xiaoping;Macreadie, Peter Ian",1352-2310,Atmospheric environment,"0907 Environmental Engineering,0401 Atmospheric Sciences,0907 Environmental Engineering,0401 Atmospheric Sciences",2018,2,,3.629,1.466,56,2,http://dro.deakin.edu.au/view/DU:30108006,FALSE
DU:30076247,Short-term differences in animal assemblages in patches formed by loss and growth of habitat,Journal Article,"Macreadie, Peter I.;Connolly, Rod M.;Keough, Michael J.;Jenkins, Gregory P.;Hindell, Jeremy S.",1442-9985,Austral ecology,"060202 Community Ecology (excl Invasive Species Ecology),060205 Marine and Estuarine Ecology (incl Marine Ichthyology),060202 Community Ecology (excl Invasive Species Ecology),060205 Marine and Estuarine Ecology (incl Marine Ichthyology)",2010,5,,1.708,0.897,206,1,http://dro.deakin.edu.au/view/DU:30076247,FALSE
DU:30087849,Can mud (silt and clay) concentration be used to predict soil organic carbon content within seagrass ecosystems?,Journal Article,"Serrano, O;Lavery, PS;Duarte, CM;Kendrick, GA;Calafat, A;York, PH;Steven, A;Macreadie, Peter",1726-4170,Biogeosciences,"04 Earth Sciences,05 Environmental Sciences,06 Biological Sciences",2016,11,14,3.851,2.328,3,0,http://dro.deakin.edu.au/view/DU:30087849,FALSE
DU:30103967,Sediment and carbon deposition vary among vegetation assemblages in a coastal salt marsh,Journal Article,"Kelleway, Jeffrey J.;Saintilan, Neil;Macreadie, Peter I.;Baldock, Jeffrey A.;Ralph, Peter J.",1726-4170,Biogeosciences,"040310 Sedimentology,050301 Carbon Sequestration Science,069999 Biological Sciences not elsewhere classified,04 Earth Sciences,05 Environmental Sciences,06 Biological Sciences",2017,3,2,3.851,2.328,114,20,http://dro.deakin.edu.au/view/DU:30103967,TRUE
DU:30083086,Can mud (silt and clay) concentration be used to predict soil organic carbon content within seagrass ecosystems?,Journal Article,"Serrano, Oscar;Lavery, Paul S.;Duarte, Carlos M.;Kendrick, Gary A.;Calafat, Antoni;York, Paul;Steven, Andy;Macreadie, Peter",1726-4189,Biogeosciences,"060205 Marine and Estuarine Ecology (incl Marine Ichthyology),060701 Phycology (incl Marine Grasses)",2016,,14,3.851,2.328,168,120,http://dro.deakin.edu.au/view/DU:30083086,TRUE
DU:30087849,Can mud (silt and clay) concentration be used to predict soil organic carbon content within seagrass ecosystems?,Journal Article,"Serrano, O;Lavery, PS;Duarte, CM;Kendrick, GA;Calafat, A;York, PH;Steven, A;Macreadie, Peter",1726-4189,Biogeosciences,"04 Earth Sciences,05 Environmental Sciences,06 Biological Sciences",2016,11,14,3.851,2.328,3,0,http://dro.deakin.edu.au/view/DU:30087849,FALSE
DU:30103967,Sediment and carbon deposition vary among vegetation assemblages in a coastal salt marsh,Journal Article,"Kelleway, Jeffrey J.;Saintilan, Neil;Macreadie, Peter I.;Baldock, Jeffrey A.;Ralph, Peter J.",1726-4189,Biogeosciences,"040310 Sedimentology,050301 Carbon Sequestration Science,069999 Biological Sciences not elsewhere classified,04 Earth Sciences,05 Environmental Sciences,06 Biological Sciences",2017,3,2,3.851,2.328,114,20,http://dro.deakin.edu.au/view/DU:30103967,TRUE
DU:30117107,Blue carbon stocks of great barrier reef deep-water seagrasses,Journal Article,"York, PH;Macreadie, Peter;Rasheed, MA",1744-9561,Biology Letters,06 Biological Sciences,2018,,,3.089,1.653,0,0,http://dro.deakin.edu.au/view/DU:30117107,FALSE
DU:30114032,Optimal soil carbon sampling designs to achieve cost-effectiveness: a case study in blue carbon ecosystems,Journal Article,"Young, Mary;Macreadie, Peter;Duncan, Clare;Carnell, Paul;Nicholson, Emily;Serrano, Oscar;Duarte, Carlos M.;Shiell, Glenn;Baldock, Jeff;Ierodiaconou, Daniel",1744-957X,Biology letters,06 Biological Sciences,2018,0,0,3.089,1.653,15,0,http://dro.deakin.edu.au/view/DU:30114032,FALSE
DU:30117107,Blue carbon stocks of great barrier reef deep-water seagrasses,Journal Article,"York, PH;Macreadie, Peter;Rasheed, MA",1744-957X,Biology Letters,06 Biological Sciences,2018,,,3.089,1.653,0,0,http://dro.deakin.edu.au/view/DU:30117107,FALSE
DU:30076244,Design of endoperoxides with anti-Candida activity,Journal Article,"Avery, Thomas D.;Macreadie, Peter I.;Greatrex, Ben W.;Robinson, Tony V.;Taylor, Dennis K.;Macreadie, Ian G.",0968-0896,Bioorganic & medicinal chemistry,030503 Organic Chemical Synthesis,2007,9,8,2.93,0.978,154,0,http://dro.deakin.edu.au/view/DU:30076244,FALSE
DU:30076250,Novel endoperoxides: synthesis and activity against Candida species,Journal Article,"Macreadie, Peter;Avery, Thomas;Greatrex, Ben;Taylor, Dennis;Macreadie, Ian",0960-894X,Bioorganic & medicinal chemistry letters,030503 Organic Chemical Synthesis,2006,12,10,2.454,0.843,162,0,http://dro.deakin.edu.au/view/DU:30076250,FALSE
DU:30076240,Fish responses to experimental fragmentation of seagrass habitat,Journal Article,"Macreadie, Peter I.;Hindell, Jeremy S.;Jenkins, Gregory P.;Connolly, Rod M.;Keough, Michael J.",1523-1739,Conservation biology,"050102 Ecosystem Function,060205 Marine and Estuarine Ecology (incl Marine Ichthyology),060701 Phycology (incl Marine Grasses),050102 Ecosystem Function,060205 Marine and Estuarine Ecology (incl Marine Ichthyology),060701 Phycology (incl Marine Grasses)",2009,49,42,4.842,2.681,208,1,http://dro.deakin.edu.au/view/DU:30076240,FALSE
DU:30047793,"Development of twenty-three novel microsatellite markers for the seagrass, Zostera muelleri from Australia",Journal Article,"Sherman, Craig D. H.;Stanley, Annalise M.;Keough, Michael J.;Gardner, Michael G.;Macreadie, Peter I.",1877-7252,Conservation genetics resources,069999 Biological Sciences not elsewhere classified,2012,9,9,0.47,0.321,371,5,http://dro.deakin.edu.au/view/DU:30047793,FALSE
DU:30057760,Microsatellite primer development for the seagrass Zostera nigricaulis (Zosteraceae),Journal Article,"Smith, Timothy M.;York, Paul H.;Stanley, Annalise M.;Macreadie, Peter I.;Keough, Michael J.;Ross, D. Jeff;Sherman, Craig D.H.",1877-7252,Conservation genetics resources,059999 Environmental Sciences not elsewhere classified,2013,8,7,0.47,0.321,283,2,http://dro.deakin.edu.au/view/DU:30057760,FALSE
DU:30047793,"Development of twenty-three novel microsatellite markers for the seagrass, Zostera muelleri from Australia",Journal Article,"Sherman, Craig D. H.;Stanley, Annalise M.;Keough, Michael J.;Gardner, Michael G.;Macreadie, Peter I.",1877-7260,Conservation genetics resources,069999 Biological Sciences not elsewhere classified,2012,9,9,0.47,0.321,371,5,http://dro.deakin.edu.au/view/DU:30047793,FALSE
DU:30057760,Microsatellite primer development for the seagrass Zostera nigricaulis (Zosteraceae),Journal Article,"Smith, Timothy M.;York, Paul H.;Stanley, Annalise M.;Macreadie, Peter I.;Keough, Michael J.;Ross, D. Jeff;Sherman, Craig D.H.",1877-7260,Conservation genetics resources,059999 Environmental Sciences not elsewhere classified,2013,8,7,0.47,0.321,283,2,http://dro.deakin.edu.au/view/DU:30057760,FALSE
